iter	Passed	Remaining
501	393	390
502	393	389
503	394	388
504	395	387
505	395	386
506	396	385
507	396	384
508	397	383
509	397	382
510	398	381
511	398	380
512	399	379
513	399	378
514	400	377
515	400	376
516	401	374
517	401	373
518	402	372
519	403	372
520	403	371
521	404	369
522	404	368
523	405	367
524	405	366
525	406	365
526	406	364
527	407	363
528	407	362
529	408	361
530	408	360
531	409	359
532	409	358
533	410	357
534	410	357
535	411	356
536	411	355
537	412	354
538	412	353
539	413	352
540	413	351
541	414	350
542	414	349
543	415	348
544	415	347
545	416	346
546	416	345
547	417	344
548	417	343
549	418	342
550	418	341
551	419	340
552	419	339
553	420	338
554	420	337
555	421	336
556	422	335
557	422	334
558	423	333
559	423	332
560	424	331
561	424	330
562	425	329
563	425	329
564	426	328
565	426	327
566	427	326
567	427	325
568	428	324
569	428	323
570	429	322
571	429	321
572	430	320
573	430	319
574	431	318
575	431	317
576	432	316
577	432	315
578	433	315
579	433	314
580	434	313
581	434	312
582	435	311
583	435	310
584	436	309
585	436	308
586	437	307
587	437	306
588	438	305
589	439	305
590	439	304
591	440	303
592	440	302
593	441	301
594	441	300
595	442	299
596	442	298
597	443	297
598	443	296
599	444	296
600	444	295
601	445	294
602	445	293
603	446	292
604	446	291
605	447	290
606	447	289
607	448	288
608	448	287
609	449	287
610	449	286
611	450	285
612	450	284
613	450	283
614	451	282
615	452	281
616	452	280
617	453	280
618	453	279
619	454	278
620	454	277
621	455	276
622	455	275
623	456	274
624	456	273
625	457	273
626	457	272
627	458	271
628	458	270
629	459	269
630	459	268
631	460	267
632	460	267
633	461	266
634	461	265
635	462	264
636	462	263
637	463	262
638	463	261
639	464	261
640	464	260
641	465	259
642	465	258
643	466	257
644	466	256
645	467	255
646	467	255
647	468	254
648	468	253
649	469	252
650	469	251
651	470	250
652	470	250
653	471	249
654	471	248
655	472	247
656	472	246
657	473	245
658	473	245
659	474	244
660	474	243
661	475	242
662	475	241
663	476	240
664	476	240
665	477	239
666	477	238
667	478	237
668	478	236
669	479	235
670	479	235
671	480	234
672	480	233
673	481	232
674	481	231
675	482	231
676	482	230
677	483	229
678	483	228
679	484	227
680	484	227
681	485	226
682	485	225
683	486	224
684	486	223
685	487	222
686	487	222
687	488	221
688	488	220
689	489	219
690	489	218
691	490	218
692	490	217
693	491	216
694	491	215
695	492	214
696	492	214
697	493	213
698	493	212
699	494	211
700	494	210
701	495	210
702	495	209
703	496	208
704	496	207
705	497	206
706	497	206
707	498	205
708	498	204
709	499	203
710	499	203
711	500	202
712	500	201
713	501	200
714	501	199
715	502	199
716	502	198
717	503	197
718	503	196
719	504	196
720	504	195
721	505	194
722	505	193
723	506	192
724	506	192
725	507	191
726	507	190
